Participant ID,Timestamp,Global Time (seconds),Note
GTR,2025-12-01 12:35:28.666,112,"Participant is not familiar with Apple products and was unsure about how to prompt the unlock code screen"
GTR,2025-12-01 12:40:25.954,410,"Meta AI app would not allow participant to continue onto next step after neural band and glasses had been paired"
GTR,2025-12-01 12:41:48.244,492,"Meta AI app alerting user that it cannot connect to glasses"
GTR,2025-12-01 12:44:03.240,627,"Participant listening to voice commands about hand gesture tutorial and is thinking out loud while attempting hand gesture being described"
GTR,2025-12-01 12:46:38.956,783,"Participant’s intuition for clicking on something within MR display is to press thumb down similar while hand is positioned for scrolling gesture"
GTR,2025-12-01 12:47:51.983,856,"Participant notes that MR display is loading while Meta is speaking out directions"
GTR,2025-12-01 12:49:27.574,951,"Meta tutorial explained scrolling and swiping hand gestures but did not explain selecting or back hand gestures"
GTR,2025-12-01 12:57:46.249,1450,"Participant was unaware that menu screens could be found scrolling side to side and was attempting to scroll up and down to navigate through main menus"
GTR,2025-12-01 12:58:59.693,1523,"Participant focusing on a solid color and notes that too many colors in the background make screen harder to see"
GTR,2025-12-01 13:00:05.236,1589,"Participant notes that white basket made screen noticeably less clear"
GTR,2025-12-01 13:00:37.969,1622,"Participant finds blue plaid blanket a difficult background to view screen"
GTR,2025-12-01 13:02:46.709,1750,"Participant notices that hand gestures are relatively responsive when playing hyper trail but can sometimes feel laggy"
