Participant ID,Timestamp,Global Time (seconds),Note
10098,2025-10-30 16:20:08.469,46,"Adjusting glasses due to glare"
10098,2025-10-30 16:21:22.076,119,"Participant scrolling left and ball in game going right - participant is left handed"
10098,2025-10-30 16:24:38.459,316,"Participant rotated the band & which didn’t correct the direction . Didn’t correct the issue. Suggested changing to left wrist"
10098,2025-10-30 16:24:53.420,331,"Can’t initiate what’s app text"
10098,2025-10-30 16:26:17.975,415,"With band on correct wrist, gester matches the directionality"
10098,2025-10-30 16:27:30.136,487,"No Bluetooth connection"
10098,2025-10-30 16:28:17.318,534,"Permission denied on answering the call"
10098,2025-10-30 16:28:56.550,574,"Successful answered call"
10098,2025-10-30 16:30:51.612,689,"What’s app not working"
10098,2025-10-30 16:31:24.135,721,"Attempting to take pictures"
10098,2025-10-30 16:34:11.947,889,"No bluetooth connection what’s app not loading- could accept a call - can’t sent or make texts or call"
10098,2025-10-30 16:35:41.405,979,"Meta correctly identified room and surrounding- can’t recognize Andy Williams record - meta can’t recognize what artist painted the painting"
10098,2025-10-30 16:36:58.780,1056,"Asking meta re lamp - response 
Suggested plugging it in"
10098,2025-10-30 16:37:54.598,1112,"Meta correctly read the mother Teresa poster"
10098,2025-10-30 16:43:10.863,1428,"Tricky to navigate back to app scrolling down - not intuitive"
10098,2025-10-30 16:44:56.176,1533,"Attempting to send photo to contact - screen when blank - needed to reconnect the app"
10098,2025-10-30 16:47:27.197,1684,"Overstimulation- listening to surrounding - while also reloading the app"
10098,2025-10-30 16:49:46.437,1824,"Successfully found the contact list and sent a vm"
10098,2025-10-30 16:51:26.992,1924,"Looking at the room from his screen- can see four hands - a little too intense & disorientating"
10098,2025-10-30 16:52:00.533,1958,"Found translation feature & downloading spanish"
10098,2025-10-30 16:52:33.385,1991,"Dictated in Spanish - didn’t translate to English"
10098,2025-10-30 16:53:34.170,2051,"Getting used to the mixed reality & slowly acclimating to mixed reality & real world"
10098,2025-10-30 16:54:20.823,2098,"Still downloading the language for translation"
10098,2025-10-30 16:54:42.087,2119,"Sent two photos to contact"
10098,2025-10-30 16:55:03.908,2141,"Sending video - only recorded 1 sec"
10098,2025-10-30 16:56:15.475,2213,"Light on camera successfully recorded"
10098,2025-10-30 16:57:12.526,2270,"Able to send a text dictation with filler words"
10098,2025-10-30 16:57:35.069,2292,"Trying Spotify"
10098,2025-10-30 16:58:58.457,2376,"Only focusing on real world when we speak to him - very curious and captivating by the screen"
10098,2025-10-30 16:59:58.077,2435,"Opening maps app -"
10098,2025-10-30 17:00:18.467,2456,"Not open to translate Spanish records"
10098,2025-10-30 17:00:44.111,2481,"Received message in what’s app"
10098,2025-10-30 17:01:53.771,2551,"Getting more intuitive with navigating within the glasses"
10098,2025-10-30 17:03:00.250,2617,"Curious to know what we can see - eyes looking toward us 
- but not at us"
10098,2025-10-30 17:03:56.833,2674,"Adjusting glasses left eye can’t find screen"
10098,2025-10-30 17:04:37.051,2714,"Feels like his head is dragging toward the right- trying to find the screen"
10098,2025-10-30 17:04:48.982,2726,"Loves the brightness"
10098,2025-10-30 17:05:22.774,2760,"Head dragging to right- looking for the screen"
10098,2025-10-30 17:06:22.822,2820,"Keeps adjusting the glasses towards his face"
10098,2025-10-30 17:07:55.096,2912,"Asking meta about climate and vegetation while reading book -  telling him what he’s looking at - not reading book"
10098,2025-10-30 17:10:52.638,3090,"Asking meta to locate the USA on a map- couldn’t do that - told him it’s in North America"
10098,2025-10-30 17:11:15.947,3113,"Meta saw and read the text to him"
10098,2025-10-30 17:12:05.263,3162,"Mine went blank while meta read the book - questioned why he was holding the book"
10098,2025-10-30 17:12:41.850,3199,"Meta comparing the facts in the book - meta cut off mid sentence"
10098,2025-10-30 17:14:43.614,3321,"Asked meta re author- meta told fun facts about the author & told book was also a tv show - gave low down on author"
10098,2025-10-30 17:15:42.795,3380,"Meta - reading not capturing the words or matching it to the book"
10098,2025-10-30 17:16:42.809,3440,"Changed audio prompt - started reading and stopped reading mid sentence"
10098,2025-10-30 17:21:27.187,3724,"Missed the last question - explained that he’s adapting to the glasses"
10098,2025-10-30 17:23:01.579,3819,"Adjusting the glasses to sit lower on face to have the closed captions lower on the screen so he can see through the glasses to talk to us"
10098,2025-10-30 17:23:54.713,3872,"Meta can’t identify the snow globe in hand - gave history of snow globes"
10098,2025-10-30 17:25:05.818,3943,"Asked meta to identify the movie Harry Potter &"
10098,2025-10-30 17:27:39.532,4097,"Swapped glasses to Kailey- she’s using what’s app"
10098,2025-10-30 17:28:56.477,4174,"Having trouble adjusting the volume"
10098,2025-10-30 17:29:57.957,4235,"Double clicking function not responding"
