Participant ID,Timestamp,Global Time (seconds),Note
1076,2025-12-17 13:10:29.154,142,"User has wristband and glasses on and has opened live captions app on glasses"
1076,2025-12-17 13:10:59.810,173,"User is playing video on phone while watching with captions on glasses"
1076,2025-12-17 13:11:57.779,231,"User is holding phone with left hand, watching video at eye level"
1076,2025-12-17 13:15:02.100,415,"Moderator cannot communicate with user as the live captions pick up moderator’s voice over the phone volume"
1076,2025-12-17 13:16:37.254,510,"Live captions stops working intermittently, user has to refresh or close and reopen meta app to restart captions"
1076,2025-12-17 13:16:57.081,530,"User notices captions stop working intermittently"
1076,2025-12-17 13:18:27.423,620,"User is holding phone in both hands, watching video in landscape mode, at eye level"
1076,2025-12-17 13:20:11.196,724,"captions are delayed, user has to wake up phone and meta app to restart live captions"
1076,2025-12-17 13:21:43.376,816,"User notes that if they were deaf, they would only be understanding about 10% of what was being said using live captions"
1076,2025-12-17 13:22:40.102,873,"User feels like captions don’t capture a lot of content in the middle of the video, can only capture in sentences or phrases but not the whole speech"
1076,2025-12-17 13:24:43.516,996,"Captions are working, only intermittently, and effectively for singular sentences and phrases"
1076,2025-12-17 13:25:46.115,1059,"Second video is started by user"
1076,2025-12-17 13:26:10.925,1084,"User finds the second video to be more effectively being captioned by glasses than the first"
1076,2025-12-17 13:28:28.895,1222,"User is requested to switch to dark green armchair"
1076,2025-12-17 13:29:05.918,1259,"User is sitting on armchair, leant back, watching video with phone in left hand"
1076,2025-12-17 13:29:46.852,1300,"User notes that the live captions cannot tell the difference between the words precrastinator to procrastinator"
1076,2025-12-17 13:33:13.688,1507,"User notices that captions, even in the second video, though more effective, are still far from exact. Often noticing spelling or interpretation errors"
1076,2025-12-17 13:35:01.432,1614,"User notices time delays in the captions, providing text up to 5-10 seconds late to user"
1076,2025-12-17 13:36:49.582,1722,"User is sitting back in armchair, leant back, phone in left hand, leg rocking"
1076,2025-12-17 13:39:28.914,1882,"User is requested to move on to scavenger hunt activity"
1076,2025-12-17 13:40:32.544,1945,"Use is confused as meta incorrectly recognized the plant they were looking at"
1076,2025-12-17 13:42:59.361,2092,"User is asking image recognition questions and information gathering questions"
1076,2025-12-17 13:44:43.380,2196,"Meta stops responding to user questions"
1076,2025-12-17 13:46:10.633,2284,"User has to close and reopen meta app to see if meta ai responds, meta ai still doesn’t respond to question, after second attempt, meta resumes responding to user"
1076,2025-12-17 13:46:55.721,2329,"User flips through travel book asking various related questions"
1076,2025-12-17 13:50:03.288,2516,"User has to often repeat questions they ask meta ai"
1076,2025-12-17 13:50:33.532,2546,"User repeats question twice again"
1076,2025-12-17 13:53:30.855,2724,"User tells moderator that they have repeat each question at least twice"
1076,2025-12-17 13:54:34.268,2787,"User is told to move to next task, video call"
1076,2025-12-17 13:58:10.814,3004,"Moderator calls user but cannot hear user, cuts call. User then calls moderator on WhatsApp video call."
1076,2025-12-17 13:58:35.741,3029,"Video call, after initial struggles is now running smoothly, user can see moderator clearly"
1076,2025-12-17 13:59:48.383,3101,"User sits on couch, hands tapping the arms, conversing with moderator"
1076,2025-12-17 14:00:10.359,3123,"So far, user has not had to repeat themselves or ask the moderator to repeat what they said"
1076,2025-12-17 14:03:16.711,3310,"Call got cut, user wonders if their hand motions cut the call by mistakes"
1076,2025-12-17 14:04:45.630,3399,"User jokes that they might have to keep their hands locked together to avoid cutting calls by mistake using wrist motion controls"
1076,2025-12-17 14:05:13.658,3427,"User notices slight lag in conversation"
1076,2025-12-17 14:11:31.024,3804,"User is prompted to move to next activity, Lego building"
1076,2025-12-17 14:11:52.729,3826,"User receives the first toy’s intructions"
1076,2025-12-17 14:14:27.228,3980,"User is working through the instructions for toy 1, utilizing WhatsApp using wrist motions"
1076,2025-12-17 14:16:26.926,4100,"User works deliberately towards finishing toy 1"
1076,2025-12-17 14:20:59.319,4372,"User is 60% done with toy 1"
1076,2025-12-17 14:23:55.845,4549,"MR display across the day has shifted from the right lens dominated position to a more centered one. User now faces forward instead of slightly to the right while watching the MR display"
1076,2025-12-17 14:26:17.417,4690,"User navigates through WhatsApp using wrist motions"
1076,2025-12-17 14:29:54.031,4907,"User couldn’t not, for a short period see the most recent photos moderator sent to them, they had to close WhatsApp and meta app and restart both again"
1076,2025-12-17 14:30:13.387,4926,"User is requested to move to dark green armchair as they continue to work on toy 1"
1076,2025-12-17 14:31:37.781,5011,"As position is changed, user has to get up and lean on coffee table to search for a particular piece to finish toy 1"
1076,2025-12-17 14:34:38.609,5191,"User completes toy 1, takes a photo and sends it to moderator, using zoom by utilizing wrist motion"
1076,2025-12-17 14:34:52.339,5205,"User receives instructions for toy 2, starts building it"
