Participant ID,Timestamp,Global Time (seconds),Note
1032,2025-12-01 15:18:30.384,124,"User not able to view the home page on the glasses"
1032,2025-12-01 15:27:35.603,669,"User able to view Home Screen through the glasses now and navigate through the glasses."
1032,2025-12-01 15:28:34.047,728,"There was a lag in sending videos through WhatsApp."
1032,2025-12-01 15:30:27.902,842,"User reports that displays in the glasses are faint when looking at a lighter background."
1032,2025-12-01 15:34:48.488,1102,"It could only record videos for 15s"
1032,2025-12-01 15:35:40.409,1154,"During capture and share- meta reported great the glasses were hot and would have to cool"
1032,2025-12-01 15:38:29.126,1323,"Some recorded videos were not actually being sent on WhatsApp - could possibly be a lag in the transmission."
1032,2025-12-01 15:41:23.273,1497,"Band keeps disconnecting during the session."
1032,2025-12-01 15:45:26.194,1740,"Captured media could be viewed in the meta app, but some of them were not actually sent on WhatsApp - looks like the had to be import them."
1032,2025-12-01 15:48:17.462,1911,"There were connection issues and because of that , the moderator , Mary A was not receiving the files."
1032,2025-12-01 15:50:05.381,2019,"User kept turning head around ( to a preferable dark background) because they could not see the screen on the glasses clearly."
1032,2025-12-01 15:58:39.948,2534,"Occasionally , the display boxes would pop up in response but would be empty"
1032,2025-12-01 16:03:06.393,2800,"Meta could not tell the difference between real or fake"
